timestamp,fan_state,cpu_load,cpu_max_load,cpu_temp,gpu_amd_load,gpu_temp,gpu_nvidia_load,d3d_load,gpu_hotspot,ssd_temp,ssd_load
1771709064.7648299,True,14.220000267028809,32.130001068115234,0.0,8.0,55.0,0.0,0.0,62.4375,41.0,99.99945831298828
1771709066.5331247,True,11.710000038146973,44.040000915527344,0.0,6.0,55.0,0.0,0.0,62.75,41.0,2.0484979152679443
1771709068.2404642,True,9.069999694824219,40.709999084472656,0.0,3.0,55.0,0.0,0.0,62.625,41.0,0.18675342202186584
1771709070.1416414,True,7.28000020980835,40.0,0.0,2.0,55.0,0.0,0.0,62.9375,41.0,2.9383580684661865
1771709071.8300228,True,7.21999979019165,38.02000045776367,0.0,0.0,55.0,0.0,0.0,62.90625,41.0,2.8423707485198975
1771709073.7535772,True,7.929999828338623,47.220001220703125,0.0,0.0,55.0,0.0,0.0,63.09375,41.0,2.898693323135376
1771709075.4897776,True,12.180000305175781,38.209999084472656,0.0,0.0,55.0,0.0,0.0,63.21875,41.0,2.8993704319000244
1771709077.2785947,True,9.949999809265137,56.25,0.0,0.0,55.0,0.0,0.0,63.78125,41.0,6.352721214294434
1771709078.514533,True,7.539999961853027,53.5099983215332,0.0,0.0,56.0,0.0,0.0,64.15625,42.0,2.8808467388153076
1771709080.1990016,True,2.4600000381469727,8.859999656677246,0.0,0.0,56.0,0.0,0.0,63.53125,41.0,2.3565430641174316
1771709081.9197278,True,10.550000190734863,37.959999084472656,0.0,2.0,56.0,0.0,0.0,63.75,41.0,2.944718360900879
1771709083.6646836,True,9.989999771118164,38.18000030517578,0.0,0.0,56.0,0.0,0.0,64.0625,41.0,2.0250909328460693
1771709085.4086773,True,10.229999542236328,31.860000610351562,0.0,0.0,56.0,0.0,0.0,63.59375,41.0,2.9412941932678223
1771709087.1334124,True,10.140000343322754,56.7599983215332,0.0,1.0,56.0,0.0,0.0,63.875,41.0,2.2822277545928955
1771709088.966369,True,8.949999809265137,44.54999923706055,0.0,1.0,56.0,0.0,0.0,63.875,41.0,1.9168736934661865
1771709090.661936,True,10.460000038146973,42.7400016784668,0.0,2.0,56.0,0.0,0.0,64.53125,41.0,2.9234046936035156
1771709092.445605,True,9.489999771118164,33.939998626708984,0.0,2.0,56.0,0.0,0.0,64.03125,41.0,2.6126596927642822
1771709094.453957,True,8.4399995803833,34.779998779296875,0.0,1.0,56.0,0.0,0.0,64.59375,42.0,3.4461286067962646
1771709096.3811107,True,7.75,59.060001373291016,0.0,0.0,56.0,0.0,0.0,64.3125,42.0,2.373887538909912
1771709098.2671106,True,10.789999961853027,36.88999938964844,0.0,5.0,56.0,0.0,0.0,64.375,42.0,2.249253273010254
